sweep,max_delta,V_0_0,V_0_1,V_0_2,V_0_3,V_0_4,V_1_0,V_1_1,V_1_2,V_1_3,V_1_4,V_2_0,V_2_1,V_2_2,V_2_3,V_2_4,V_3_0,V_3_1,V_3_2,V_3_3,V_3_4,V_4_0,V_4_1,V_4_2,V_4_3,V_4_4
1,10.0,-1.0,-1.0,-1.0,-1.0,-5.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-5.0,-1.0,-1.0,-5.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.0
2,9.5,-1.95,-1.95,-1.95,-1.95,-5.95,-1.95,-1.95,-1.95,-1.95,-1.95,-1.95,-1.95,-5.95,-1.95,-1.95,-5.95,-1.95,-1.95,-1.95,8.5,-1.95,-1.95,-1.95,8.5,10.0
3,9.024999999999999,-2.8525,-2.8525,-2.8525,-2.8525,-6.8525,-2.8525,-2.8525,-2.8525,-2.8525,-2.8525,-2.8525,-2.8525,-6.8525,-2.8525,7.074999999999999,-6.8525,-2.8525,-2.8525,7.074999999999999,8.5,-2.8525,-2.8525,7.074999999999999,8.5,10.0
4,8.573749999999999,-3.709875,-3.709875,-3.709875,-3.709875,-7.709875,-3.709875,-3.709875,-3.709875,-3.709875,5.721249999999999,-3.709875,-3.709875,-7.709875,5.721249999999999,7.074999999999999,-7.709875,-3.709875,5.721249999999999,7.074999999999999,8.5,-3.709875,5.721249999999999,7.074999999999999,8.5,10.0
5,8.145062499999998,-4.524381249999999,-4.524381249999999,-4.524381249999999,-4.524381249999999,0.43518749999999873,-4.524381249999999,-4.524381249999999,-4.524381249999999,4.435187499999999,5.721249999999999,-4.524381249999999,-4.524381249999999,0.43518749999999873,5.721249999999999,7.074999999999999,-8.52438125,4.435187499999999,5.721249999999999,7.074999999999999,8.5,4.435187499999999,5.721249999999999,7.074999999999999,8.5,10.0
6,7.737809374999998,-5.298162187499999,-5.298162187499999,-5.298162187499999,3.2134281249999983,0.43518749999999873,-5.298162187499999,-5.298162187499999,3.2134281249999983,4.435187499999999,5.721249999999999,-5.298162187499999,3.2134281249999983,0.43518749999999873,5.721249999999999,7.074999999999999,-0.7865718750000017,4.435187499999999,5.721249999999999,7.074999999999999,8.5,4.435187499999999,5.721249999999999,7.074999999999999,8.5,10.0
7,7.350918906249998,-6.033254078124999,-6.033254078124999,2.052756718749998,3.2134281249999983,0.43518749999999873,-6.033254078124999,2.052756718749998,3.2134281249999983,4.435187499999999,5.721249999999999,2.052756718749998,3.2134281249999983,0.43518749999999873,5.721249999999999,7.074999999999999,-0.7865718750000017,4.435187499999999,5.721249999999999,7.074999999999999,8.5,4.435187499999999,5.721249999999999,7.074999999999999,8.5,10.0
8,6.983372960937498,-6.731591374218749,0.9501188828124982,2.052756718749998,3.2134281249999983,0.43518749999999873,0.9501188828124982,2.052756718749998,3.2134281249999983,4.435187499999999,5.721249999999999,2.052756718749998,3.2134281249999983,0.43518749999999873,5.721249999999999,7.074999999999999,-0.7865718750000017,4.435187499999999,5.721249999999999,7.074999999999999,8.5,4.435187499999999,5.721249999999999,7.074999999999999,8.5,10.0
9,6.634204312890622,-0.09738706132812669,0.9501188828124982,2.052756718749998,3.2134281249999983,0.43518749999999873,0.9501188828124982,2.052756718749998,3.2134281249999983,4.435187499999999,5.721249999999999,2.052756718749998,3.2134281249999983,0.43518749999999873,5.721249999999999,7.074999999999999,-0.7865718750000017,4.435187499999999,5.721249999999999,7.074999999999999,8.5,4.435187499999999,5.721249999999999,7.074999999999999,8.5,10.0
10,0.0,-0.09738706132812669,0.9501188828124982,2.052756718749998,3.2134281249999983,0.43518749999999873,0.9501188828124982,2.052756718749998,3.2134281249999983,4.435187499999999,5.721249999999999,2.052756718749998,3.2134281249999983,0.43518749999999873,5.721249999999999,7.074999999999999,-0.7865718750000017,4.435187499999999,5.721249999999999,7.074999999999999,8.5,4.435187499999999,5.721249999999999,7.074999999999999,8.5,10.0
